SAMPLE_ID	GENE	REGIONS	MUTTYPES	DEPTH	N_MUTS	N_MUTATED	MUTDENSITY_MB
P19_0046_BTR_01	ALL_GENES	protein_affecting	SNV	135491370	193.0	229.0	1.424444966494914
P19_0046_BTR_01	ARID1A	protein_affecting	SNV	14017072	18.0	18.0	1.2841483585159583
P19_0046_BTR_01	CDKN1A	protein_affecting	SNV	2700930	13.0	16.0	4.813156949643271
P19_0046_BTR_01	CREBBP	protein_affecting	SNV	12253880	9.0	9.0	0.7344612481924093
P19_0046_BTR_01	EP300	protein_affecting	SNV	14680151	16.0	16.0	1.0899070452340716
P19_0046_BTR_01	FGFR3	protein_affecting	SNV	4321285	2.0	2.0	0.462825293865135
P19_0046_BTR_01	FOXQ1	protein_affecting	SNV	9076253	27.0	33.0	2.9747958766684888
P19_0046_BTR_01	KDM6A	protein_affecting	SNV	10768121	40.0	66.0	3.71466851087576
P19_0046_BTR_01	KMT2C	protein_affecting	SNV	11151827	6.0	6.0	0.5380284324711996
P19_0046_BTR_01	KMT2D	protein_affecting	SNV	22709221	18.0	18.0	0.7926295666416738
P19_0046_BTR_01	NOTCH2	protein_affecting	SNV	13030674	13.0	13.0	0.9976460158545906
P19_0046_BTR_01	PIK3CA	protein_affecting	SNV	595977	2.0	2.0	3.355834201655433
P19_0046_BTR_01	RB1	protein_affecting	SNV	9054245	0.0	0.0	0.0
P19_0046_BTR_01	RBM10	protein_affecting	SNV	2404438	12.0	13.0	4.990771232196464
P19_0046_BTR_01	STAG2	protein_affecting	SNV	6866567	13.0	13.0	1.8932313629212385
P19_0046_BTR_01	TERTpromoter	protein_affecting	SNV	7014	0.0	0.0	0.0
P19_0046_BTR_01	TP53	protein_affecting	SNV	1853715	4.0	4.0	2.157829008234815
P19_0005_BTR_01	ALL_GENES	protein_affecting	SNV	322549692	300.0	467.0	0.9300892465276328
P19_0005_BTR_01	ARID1A	protein_affecting	SNV	31488155	14.0	14.0	0.4446116325329318
P19_0005_BTR_01	CDKN1A	protein_affecting	SNV	2550840	4.0	8.0	1.568110896802622
P19_0005_BTR_01	CREBBP	protein_affecting	SNV	28131893	10.0	11.0	0.355468435771457
P19_0005_BTR_01	EP300	protein_affecting	SNV	35817194	24.0	29.0	0.6700692410466326
P19_0005_BTR_01	FGFR3	protein_affecting	SNV	2822392	1.0	1.0	0.3543093943010042
P19_0005_BTR_01	FOXQ1	protein_affecting	SNV	1917598	2.0	2.0	1.0429714674295656
P19_0005_BTR_01	KDM6A	protein_affecting	SNV	23070354	66.0	138.0	2.860814359415551
P19_0005_BTR_01	KMT2C	protein_affecting	SNV	25598539	6.0	14.0	0.2343883766178999
P19_0005_BTR_01	KMT2D	protein_affecting	SNV	76068599	50.0	73.0	0.6573014444501601
P19_0005_BTR_01	NOTCH2	protein_affecting	SNV	35078108	8.0	8.0	0.2280624713282711
P19_0005_BTR_01	PIK3CA	protein_affecting	SNV	1710331	1.0	6.0	0.5846821463213846
P19_0005_BTR_01	RB1	protein_affecting	SNV	14936264	4.0	4.0	0.2678045862070997
P19_0005_BTR_01	RBM10	protein_affecting	SNV	14782558	57.0	84.0	3.85589557639483
P19_0005_BTR_01	STAG2	protein_affecting	SNV	22783411	38.0	51.0	1.667880195814402
P19_0005_BTR_01	TERTpromoter	protein_affecting	SNV	12243	0.0	0.0	0.0
P19_0005_BTR_01	TP53	protein_affecting	SNV	5781213	15.0	24.0	2.594611200106275
P19_0039_BTR_01	ALL_GENES	protein_affecting	SNV	333738021	454.0	572.0	1.3603484512781958
P19_0039_BTR_01	ARID1A	protein_affecting	SNV	39783610	94.0	128.0	2.36278206025044
P19_0039_BTR_01	CDKN1A	protein_affecting	SNV	2054799	2.0	2.0	0.9733312114712924
P19_0039_BTR_01	CREBBP	protein_affecting	SNV	34029350	26.0	32.0	0.7640463305940314
P19_0039_BTR_01	EP300	protein_affecting	SNV	42233194	29.0	33.0	0.6866636702874047
P19_0039_BTR_01	FGFR3	protein_affecting	SNV	3517182	1.0	1.0	0.2843185254558905
P19_0039_BTR_01	FOXQ1	protein_affecting	SNV	1875727	8.0	8.0	4.265012978967622
P19_0039_BTR_01	KDM6A	protein_affecting	SNV	10332110	12.0	12.0	1.1614278206484443
P19_0039_BTR_01	KMT2C	protein_affecting	SNV	27340614	9.0	9.0	0.3291806102086807
P19_0039_BTR_01	KMT2D	protein_affecting	SNV	92199047	183.0	219.0	1.9848361339353104
P19_0039_BTR_01	NOTCH2	protein_affecting	SNV	36428333	24.0	33.0	0.6588278415045783
P19_0039_BTR_01	PIK3CA	protein_affecting	SNV	1644197	0.0	0.0	0.0
P19_0039_BTR_01	RB1	protein_affecting	SNV	13554550	4.0	5.0	0.295103858114065
P19_0039_BTR_01	RBM10	protein_affecting	SNV	10325648	33.0	50.0	3.195925330787956
P19_0039_BTR_01	STAG2	protein_affecting	SNV	10424562	13.0	15.0	1.2470547923260469
P19_0039_BTR_01	TERTpromoter	protein_affecting	SNV	54971	3.0	10.0	54.57423004857106
P19_0039_BTR_01	TP53	protein_affecting	SNV	7940127	13.0	15.0	1.6372534091709112
P19_0009_BTR_01	ALL_GENES	protein_affecting	SNV	382429703	511.0	1287.0	1.3361932820369866
P19_0009_BTR_01	ARID1A	protein_affecting	SNV	37132126	39.0	98.0	1.05030344882488
P19_0009_BTR_01	CDKN1A	protein_affecting	SNV	9377744	13.0	17.0	1.3862609173379012
P19_0009_BTR_01	CREBBP	protein_affecting	SNV	36108375	97.0	257.0	2.686357389386812
P19_0009_BTR_01	EP300	protein_affecting	SNV	32662328	54.0	107.0	1.6532808071733285
P19_0009_BTR_01	FGFR3	protein_affecting	SNV	15999395	12.0	12.0	0.7500283604473794
P19_0009_BTR_01	FOXQ1	protein_affecting	SNV	17473031	22.0	33.0	1.259083212294421
P19_0009_BTR_01	KDM6A	protein_affecting	SNV	16449209	11.0	11.0	0.6687251648392333
P19_0009_BTR_01	KMT2C	protein_affecting	SNV	14172882	9.0	9.0	0.6350155176625333
P19_0009_BTR_01	KMT2D	protein_affecting	SNV	129092874	153.0	369.0	1.1851932276292805
P19_0009_BTR_01	NOTCH2	protein_affecting	SNV	20567645	18.0	41.0	0.8751609627645751
P19_0009_BTR_01	PIK3CA	protein_affecting	SNV	700842	0.0	0.0	0.0
P19_0009_BTR_01	RB1	protein_affecting	SNV	9363141	8.0	9.0	0.8544141330350574
P19_0009_BTR_01	RBM10	protein_affecting	SNV	23601829	27.0	27.0	1.1439791382269568
P19_0009_BTR_01	STAG2	protein_affecting	SNV	9528268	8.0	58.0	0.8396069464041104
P19_0009_BTR_01	TERTpromoter	protein_affecting	SNV	108016	6.0	203.0	55.54732632202637
P19_0009_BTR_01	TP53	protein_affecting	SNV	10091998	34.0	36.0	3.36900582025482
P19_0014_BDO_01	ALL_GENES	non_protein_affecting	SNV	418096832	166.0	167.0	0.3970372107483464
P19_0014_BDO_01	ARID1A	non_protein_affecting	SNV	42841670	22.0	22.0	0.5135187307124116
P19_0014_BDO_01	CDKN1A	non_protein_affecting	SNV	4009529	1.0	1.0	0.2494058529069125
P19_0014_BDO_01	CREBBP	non_protein_affecting	SNV	44427654	22.0	22.0	0.4951870742488451
P19_0014_BDO_01	EP300	non_protein_affecting	SNV	45789762	14.0	14.0	0.3057452012963072
P19_0014_BDO_01	FGFR3	non_protein_affecting	SNV	4437661	2.0	2.0	0.4506878736343312
P19_0014_BDO_01	FOXQ1	non_protein_affecting	SNV	3375272	5.0	5.0	1.4813620946697037
P19_0014_BDO_01	KDM6A	non_protein_affecting	SNV	20697561	11.0	11.0	0.5314635864583271
P19_0014_BDO_01	KMT2C	non_protein_affecting	SNV	26258442	4.0	4.0	0.1523319624218375
P19_0014_BDO_01	KMT2D	non_protein_affecting	SNV	89461256	30.0	30.0	0.3353406976535183
P19_0014_BDO_01	NOTCH2	non_protein_affecting	SNV	47047711	15.0	15.0	0.3188252878019932
P19_0014_BDO_01	PIK3CA	non_protein_affecting	SNV	1867669	1.0	1.0	0.5354267806554588
P19_0014_BDO_01	RB1	non_protein_affecting	SNV	31251474	9.0	9.0	0.287986416256718
P19_0014_BDO_01	RBM10	non_protein_affecting	SNV	16837514	9.0	10.0	0.5345207136873056
P19_0014_BDO_01	STAG2	non_protein_affecting	SNV	24810492	13.0	13.0	0.5239718744795548
P19_0014_BDO_01	TERTpromoter	non_protein_affecting	SNV	353263	1.0	1.0	2.830752159156209
P19_0014_BDO_01	TP53	non_protein_affecting	SNV	14629902	7.0	7.0	0.4784721045978298
P19_0016_BTR_01	ALL_GENES	non_protein_affecting	SNV	332369400	111.0	188.0	0.3339657621911042
P19_0016_BTR_01	ARID1A	non_protein_affecting	SNV	29073939	8.0	8.0	0.2751605140259804
P19_0016_BTR_01	CDKN1A	non_protein_affecting	SNV	5215958	8.0	9.0	1.5337546813068663
P19_0016_BTR_01	CREBBP	non_protein_affecting	SNV	38665914	12.0	12.0	0.3103508687263929
P19_0016_BTR_01	EP300	non_protein_affecting	SNV	39516185	15.0	19.0	0.3795912991094661
P19_0016_BTR_01	FGFR3	non_protein_affecting	SNV	6050257	1.0	1.0	0.1652822351182767
P19_0016_BTR_01	FOXQ1	non_protein_affecting	SNV	4240195	4.0	4.0	0.9433528410839596
P19_0016_BTR_01	KDM6A	non_protein_affecting	SNV	20042229	8.0	20.0	0.3991571995310501
P19_0016_BTR_01	KMT2C	non_protein_affecting	SNV	20556218	6.0	6.0	0.2918824853871466
P19_0016_BTR_01	KMT2D	non_protein_affecting	SNV	57146075	21.0	79.0	0.3674793063215627
P19_0016_BTR_01	NOTCH2	non_protein_affecting	SNV	37229608	12.0	12.0	0.3223241029021847
P19_0016_BTR_01	PIK3CA	non_protein_affecting	SNV	1645663	0.0	0.0	0.0
P19_0016_BTR_01	RB1	non_protein_affecting	SNV	29582414	4.0	6.0	0.1352154695691839
P19_0016_BTR_01	RBM10	non_protein_affecting	SNV	11142813	1.0	1.0	0.0897439452676806
P19_0016_BTR_01	STAG2	non_protein_affecting	SNV	21115394	8.0	8.0	0.3788705055657498
P19_0016_BTR_01	TERTpromoter	non_protein_affecting	SNV	334994	0.0	0.0	0.0
P19_0016_BTR_01	TP53	non_protein_affecting	SNV	10811544	3.0	3.0	0.2774811812262892
P19_0002_BTR_01	ALL_GENES	protein_affecting	SNV	225236138	593.0	693.0	2.632792434045375
P19_0002_BTR_01	ARID1A	protein_affecting	SNV	21409981	68.0	81.0	3.176088759723794
P19_0002_BTR_01	CDKN1A	protein_affecting	SNV	1465438	4.0	4.0	2.7295593535857536
P19_0002_BTR_01	CREBBP	protein_affecting	SNV	20276902	43.0	48.0	2.1206395335934456
P19_0002_BTR_01	EP300	protein_affecting	SNV	26389602	74.0	90.0	2.804134749739689
P19_0002_BTR_01	FGFR3	protein_affecting	SNV	1799377	3.0	3.0	1.6672437182424806
P19_0002_BTR_01	FOXQ1	protein_affecting	SNV	1016982	3.0	3.0	2.9499047180776063
P19_0002_BTR_01	KDM6A	protein_affecting	SNV	15939709	47.0	49.0	2.9486109188066103
P19_0002_BTR_01	KMT2C	protein_affecting	SNV	17606703	26.0	28.0	1.4767103187916557
P19_0002_BTR_01	KMT2D	protein_affecting	SNV	51507456	160.0	174.0	3.10634638992848
P19_0002_BTR_01	NOTCH2	protein_affecting	SNV	24482761	59.0	65.0	2.40985892073202
P19_0002_BTR_01	PIK3CA	protein_affecting	SNV	1255055	2.0	2.0	1.5935556609072907
P19_0002_BTR_01	RB1	protein_affecting	SNV	10020478	10.0	13.0	0.9979563849149712
P19_0002_BTR_01	RBM10	protein_affecting	SNV	11283792	63.0	100.0	5.583229467540699
P19_0002_BTR_01	STAG2	protein_affecting	SNV	16578324	22.0	24.0	1.3270340234634093
P19_0002_BTR_01	TERTpromoter	protein_affecting	SNV	9186	0.0	0.0	0.0
P19_0002_BTR_01	TP53	protein_affecting	SNV	4194392	9.0	9.0	2.1457221928708616
P19_0045_BTR_01	ALL_GENES	protein_affecting	SNV	146038112	161.0	281.0	1.1024519407646136
P19_0045_BTR_01	ARID1A	protein_affecting	SNV	12674565	12.0	13.0	0.9467780551048498
P19_0045_BTR_01	CDKN1A	protein_affecting	SNV	1266321	5.0	5.0	3.948445931165952
P19_0045_BTR_01	CREBBP	protein_affecting	SNV	18173067	8.0	10.0	0.4402118805813019
P19_0045_BTR_01	EP300	protein_affecting	SNV	19781281	13.0	24.0	0.6571869637765118
P19_0045_BTR_01	FGFR3	protein_affecting	SNV	2188981	0.0	0.0	0.0
P19_0045_BTR_01	FOXQ1	protein_affecting	SNV	1436106	0.0	0.0	0.0
P19_0045_BTR_01	KDM6A	protein_affecting	SNV	4369712	6.0	7.0	1.373088203524626
P19_0045_BTR_01	KMT2C	protein_affecting	SNV	10959087	3.0	3.0	0.2737454315309295
P19_0045_BTR_01	KMT2D	protein_affecting	SNV	37648864	68.0	131.0	1.8061633944652355
P19_0045_BTR_01	NOTCH2	protein_affecting	SNV	16114332	15.0	15.0	0.9308483901163264
P19_0045_BTR_01	PIK3CA	protein_affecting	SNV	932719	3.0	4.0	3.216402796555018
P19_0045_BTR_01	RB1	protein_affecting	SNV	8555384	1.0	2.0	0.1168854606643021
P19_0045_BTR_01	RBM10	protein_affecting	SNV	3724156	17.0	20.0	4.56479266711706
P19_0045_BTR_01	STAG2	protein_affecting	SNV	4969450	5.0	6.0	1.0061475616013846
P19_0045_BTR_01	TERTpromoter	protein_affecting	SNV	25076	0.0	0.0	0.0
P19_0045_BTR_01	TP53	protein_affecting	SNV	3219011	5.0	41.0	1.553272107488915
P19_0008_BTR_01	ALL_GENES	non_protein_affecting	SNV	474708404	360.0	371.0	0.7583602838427945
P19_0008_BTR_01	ARID1A	non_protein_affecting	SNV	48141357	29.0	29.0	0.6023926579385787
P19_0008_BTR_01	CDKN1A	non_protein_affecting	SNV	9392480	9.0	11.0	0.9582133792140096
P19_0008_BTR_01	CREBBP	non_protein_affecting	SNV	56218223	36.0	36.0	0.640361756009257
P19_0008_BTR_01	EP300	non_protein_affecting	SNV	45299018	27.0	27.0	0.5960394108322613
P19_0008_BTR_01	FGFR3	non_protein_affecting	SNV	12327884	21.0	21.0	1.7034553537330497
P19_0008_BTR_01	FOXQ1	non_protein_affecting	SNV	6000579	6.0	6.0	0.9999035093113514
P19_0008_BTR_01	KDM6A	non_protein_affecting	SNV	19514291	8.0	8.0	0.4099559650924546
P19_0008_BTR_01	KMT2C	non_protein_affecting	SNV	21835064	11.0	11.0	0.5037768609242455
P19_0008_BTR_01	KMT2D	non_protein_affecting	SNV	120917961	110.0	118.0	0.9097076984286891
P19_0008_BTR_01	NOTCH2	non_protein_affecting	SNV	40155768	23.0	23.0	0.5727695209315883
P19_0008_BTR_01	PIK3CA	non_protein_affecting	SNV	1073724	0.0	0.0	0.0
P19_0008_BTR_01	RB1	non_protein_affecting	SNV	21639115	9.0	9.0	0.4159134973865613
P19_0008_BTR_01	RBM10	non_protein_affecting	SNV	28679123	43.0	43.0	1.4993484982089584
P19_0008_BTR_01	STAG2	non_protein_affecting	SNV	18776579	11.0	11.0	0.5858362164907676
P19_0008_BTR_01	TERTpromoter	non_protein_affecting	SNV	2082546	3.0	3.0	1.4405444105436327
P19_0008_BTR_01	TP53	non_protein_affecting	SNV	22654692	14.0	15.0	0.6179735306046095
P19_0045_BDO_01	ALL_GENES	non_protein_affecting	SNV	175987419	40.0	45.0	0.2272889745601644
P19_0045_BDO_01	ARID1A	non_protein_affecting	SNV	13068012	5.0	5.0	0.3826136676336079
P19_0045_BDO_01	CDKN1A	non_protein_affecting	SNV	1540292	0.0	0.0	0.0
P19_0045_BDO_01	CREBBP	non_protein_affecting	SNV	24998212	6.0	6.0	0.2400171660277143
P19_0045_BDO_01	EP300	non_protein_affecting	SNV	24198404	3.0	3.0	0.1239751183590454
P19_0045_BDO_01	FGFR3	non_protein_affecting	SNV	2923270	2.0	2.0	0.6841653353949515
P19_0045_BDO_01	FOXQ1	non_protein_affecting	SNV	1870808	1.0	1.0	0.5345283962865244
P19_0045_BDO_01	KDM6A	non_protein_affecting	SNV	8075044	3.0	6.0	0.3715150035095784
P19_0045_BDO_01	KMT2C	non_protein_affecting	SNV	9252907	3.0	3.0	0.3242224308533523
P19_0045_BDO_01	KMT2D	non_protein_affecting	SNV	32439691	7.0	7.0	0.2157850393827734
P19_0045_BDO_01	NOTCH2	non_protein_affecting	SNV	19536193	3.0	3.0	0.1535611365018762
P19_0045_BDO_01	PIK3CA	non_protein_affecting	SNV	1013008	0.0	0.0	0.0
P19_0045_BDO_01	RB1	non_protein_affecting	SNV	14821526	2.0	2.0	0.1349388720162822
P19_0045_BDO_01	RBM10	non_protein_affecting	SNV	6045617	3.0	5.0	0.4962272667951012
P19_0045_BDO_01	STAG2	non_protein_affecting	SNV	9341029	1.0	1.0	0.107054586812652
P19_0045_BDO_01	TERTpromoter	non_protein_affecting	SNV	505117	0.0	0.0	0.0
P19_0045_BDO_01	TP53	non_protein_affecting	SNV	6358289	1.0	1.0	0.1572750153382458
SexM	ALL_GENES	non_protein_affecting	SNV	18673010234	6373.0	7498.0	0.3412947307443756
SexM	ARID1A	non_protein_affecting	SNV	1792667967	616.0	743.0	0.3436219151228912
SexM	CDKN1A	non_protein_affecting	SNV	224185695	110.0	163.0	0.4906646697506725
SexM	CREBBP	non_protein_affecting	SNV	2156297443	728.0	754.0	0.3376157599979123
SexM	EP300	non_protein_affecting	SNV	2118672695	704.0	826.0	0.3322835101719192
SexM	FGFR3	non_protein_affecting	SNV	312766289	114.0	114.0	0.364489409534798
SexM	FOXQ1	non_protein_affecting	SNV	210847613	183.0	251.0	0.8679254054443575
SexM	KDM6A	non_protein_affecting	SNV	914189168	312.0	377.0	0.3412860389524982
SexM	KMT2C	non_protein_affecting	SNV	1071746971	237.0	259.0	0.2211342848759028
SexM	KMT2D	non_protein_affecting	SNV	3916991682	1534.0	1859.0	0.3916270762200715
SexM	NOTCH2	non_protein_affecting	SNV	2005436186	544.0	574.0	0.2712626828007181
SexM	PIK3CA	non_protein_affecting	SNV	79042647	22.0	24.0	0.2783307598491736
SexM	RB1	non_protein_affecting	SNV	1370511404	295.0	353.0	0.2152481177019086
SexM	RBM10	non_protein_affecting	SNV	756119647	361.0	409.0	0.4774376666871612
SexM	STAG2	non_protein_affecting	SNV	1021470005	373.0	530.0	0.3651600127014988
SexM	TERTpromoter	non_protein_affecting	SNV	30444202	19.0	20.0	0.6240925612042647
SexM	TP53	non_protein_affecting	SNV	691620620	219.0	240.0	0.3166475863602794
P19_0009_BDO_01	ALL_GENES	protein_affecting	SNV	231489204	300.0	1165.0	1.2959567652234874
P19_0009_BDO_01	ARID1A	protein_affecting	SNV	23561214	15.0	47.0	0.636639521206335
P19_0009_BDO_01	CDKN1A	protein_affecting	SNV	1593529	2.0	2.0	1.2550759979893682
P19_0009_BDO_01	CREBBP	protein_affecting	SNV	22178110	71.0	575.0	3.2013548494438884
P19_0009_BDO_01	EP300	protein_affecting	SNV	26961177	49.0	197.0	1.8174280744494204
P19_0009_BDO_01	FGFR3	protein_affecting	SNV	2874310	0.0	0.0	0.0
P19_0009_BDO_01	FOXQ1	protein_affecting	SNV	1171412	1.0	2.0	0.8536706129013533
P19_0009_BDO_01	KDM6A	protein_affecting	SNV	13317237	7.0	7.0	0.525634559180707
P19_0009_BDO_01	KMT2C	protein_affecting	SNV	15807963	8.0	8.0	0.5060740590043132
P19_0009_BDO_01	KMT2D	protein_affecting	SNV	63587449	75.0	198.0	1.17947804448013
P19_0009_BDO_01	NOTCH2	protein_affecting	SNV	20962124	21.0	36.0	1.0018068779671372
P19_0009_BDO_01	PIK3CA	protein_affecting	SNV	977559	1.0	1.0	1.0229561591678864
P19_0009_BDO_01	RB1	protein_affecting	SNV	8857790	3.0	7.0	0.3386849315687095
P19_0009_BDO_01	RBM10	protein_affecting	SNV	11604766	6.0	6.0	0.5170289517255238
P19_0009_BDO_01	STAG2	protein_affecting	SNV	12772253	13.0	39.0	1.0178313880879122
P19_0009_BDO_01	TERTpromoter	protein_affecting	SNV	12772	3.0	9.0	234.8888192922017
P19_0009_BDO_01	TP53	protein_affecting	SNV	5249539	25.0	31.0	4.762322939214281
P19_0047_BTR_01	ALL_GENES	protein_affecting	SNV	232715070	130.0	158.0	0.5586230406135709
P19_0047_BTR_01	ARID1A	protein_affecting	SNV	22078476	20.0	21.0	0.9058596254560324
P19_0047_BTR_01	CDKN1A	protein_affecting	SNV	2197004	5.0	8.0	2.2758265346808653
P19_0047_BTR_01	CREBBP	protein_affecting	SNV	26056258	3.0	3.0	0.1151354887566741
P19_0047_BTR_01	EP300	protein_affecting	SNV	28852911	7.0	7.0	0.2426098357978506
P19_0047_BTR_01	FGFR3	protein_affecting	SNV	3646264	3.0	3.0	0.8227599537499205
